Ano ,Treinador,Time,Nacionalidade,Meses no comando,Aproveitamento,Títulos
2003,Darío Pereyra,Grêmio,Uruguaio,1,"20,83",0
2003,Darío Pereyra,Paysandu,Uruguaio,5,"64,8",0
2003,Roberto Rojas ,São Paulo,Chileno,7,"60,7",0
2004,Hugo De León,Grêmio,Uruguaio,4,"47,6",0
2005,D. Passarella,Corinthians,Argentino,2,"55,6",0
2006,Matthaus,Athletico-PR,Alemão,2,83,0
2007,Sérgio Ramirez,Avaí,Uruguaio,3,54,0
2008,Sérgio Ramirez,Avaí,Uruguaio,3,62,0
2010,Jorge Fossati,Internacional,Uruguaio,6,"62,1",0
2011,Juan Carrasco,Athletico-PR,Uruguaio,6,"67,6",0
2014,Petkovic,Athletico-PR,Sérvio,3,"46,6",0
2014,M. Á. Portugal,Athletico-PR,Espanhol,4,"43,6",0
2014,R. Gareca,Palmeiras,Argentino,3,"27,8",0
2015,J. C. Osorio,São Paulo,Colombiano,4,51,0
2015,Diego Aguirre,Internacional,Uruguaio,8,60,1
2016,Diego Aguirre,Atlético-MG,Uruguaio,5,56,0
2016,Paulo Bento,Cruzeiro,Português,2,41,0
2016,Sérgio Vieira,América-MG,Português,1,"11,1",0
2016,E. Bauza,São Paulo,Argentino,8,44,0
2017,Petkovic,Vítoria,Sérvio,1,8,0
2018,Diego Aguirre,São Paulo,Paraguaio,8,56,0
2019,Jorge Jesus,Flamengo,Português,13,82,5
2019,J. Sampaoli,Santos,Argentino,12,62,0
2020,R. Dudamel,Atlético-MG,Venezuelano,2,53,0
2020,J. Sampaoli,Atlético-MG,Argentino,12,64,1
2020,A. Inácio,Avaí,Português,2,33,0
2020,Domenec T,Flamengo,Espanhol,3,64,0
2020,E. Coudet,Internacional,Argentino,11,62,0
2020,Abel Ferreira,Palmeiras,Português,15,59,3
2020,Jesualdo F,Santos,Português,8,49,0
2020,R. Sá Pinto,Vasco,Português,2,33,0
2021,António O,Athletico-PR,Português,7,58,0
2021,Diego Dabove,Bahia,Argentino,2,25,0
2021,G Morínigo,Coritiba,Paraguaio,11,49,0
2021,Juan Vojvoda,Fortaleza,Argentino,8,56,1
2021,M Á Ramírez,Internacional,Espanhol,3,54,0
2021,Diego Aguirre,Internacional,Uruguaio,6,43,0
2021,Ariel Holan,Santos,Argentino,2,42,0
2021,Crespo,São Paulo,Argentino,8,54,1
2021,G Florentín,Sport,Paraguaio,4,37,0
