nm_municipio;ds_cargo;nr_candidato;nm_candidato;nm_urna_candidato;sg_partido;ds_sit_totalizacao;aa_eleicao;qt_votos_nom_validos;qt_votos_concorrentes
ABADIA DOS DOURADOS;Vereador;55555;VAGNER TOMAZ DE SOUZA;VAGNER DA ABAPEVEL;PSD;Eleito;2024;332;4934
ABADIA DOS DOURADOS;Vereador;70510;VALERIO ANTONIO DE OLIVEIRA;VALERIO DA AMBULANCIA;AVANTE;Eleito;2024;305;4934
ABADIA DOS DOURADOS;Vereador;70123;LUZIA RAQUEL BATISTA DOS SANTOS;LUZIA DO ALTO ABADIENSE;AVANTE;Eleito;2024;290;4934
ABADIA DOS DOURADOS;Vereador;44100;DANILO BATISTA PEREIRA DAMAS;DANILO PEREIRA;UNIÃO;Eleito;2024;283;4934
ABADIA DOS DOURADOS;Vereador;55025;MARIO LÚCIO MARRA;MAURO MARRA;PSD;Eleito;2024;281;4934
ABADIA DOS DOURADOS;Vereador;44544;RUY PEREIRA DAMAS;RUY PEREIRA;UNIÃO;Eleito;2024;256;4934
ABADIA DOS DOURADOS;Vereador;55123;LILIANE BERNARDES CRUVINEL;LILIANE DO NEGO;PSD;Eleito;2024;243;4934
ABADIA DOS DOURADOS;Vereador;11614;GERALDO LUIZ BATISTA;GERALDINHO;PP;Eleito;2024;211;4934
ABADIA DOS DOURADOS;Vereador;20222;TARCISIO BORGES CRUVINEL;TARCISIO;PODE;Eleito;2024;130;4934
ABAETÉ;Vereador;25111;LUIZ HENRIQUE GOMES DE SOUSA;LUIZ DA PAMONHA;PRD;Eleito;2024;851;13469
ABAETÉ;Vereador;30500;OSVALDO RIBEIRO DE ALMEIDA;VADINHO DO CAMINHÃO;NOVO;Eleito;2024;801;13469
ABAETÉ;Vereador;44111;ANTONIO CARLOS LATALIZA FRANÇA;TATAIA;UNIÃO;Eleito;2024;707;13469
ABAETÉ;Vereador;55456;MARIA DO ROSARIO PRADO;ROSINHA DO CELINHO FIO ARRUDA;PSD;Eleito;2024;654;13469
ABAETÉ;Vereador;25000;CARLOS EDUARDO LOPES PEREIRA;CARLOS DA AUTO ESCOLA;PRD;Eleito;2024;515;13469
ABAETÉ;Vereador;15000;ANDERSON GERALDO DE FREITAS;DR, ANDERSON (CANHOTO);MDB;Eleito;2024;426;13469
ABAETÉ;Vereador;55555;VANDELIO JOSE RIBEIRO;VAVÁ RIBEIRO;PSD;Eleito;2024;414;13469
